class_id,total_annotations,train_annotations,train_rate_of_class,val_annotations,val_rate_of_class,test_annotations,test_rate_of_class
0,7162,5051,0.7052499301870986,1028,0.14353532532812063,1083,0.15121474448478078
1,279,194,0.6953405017921147,44,0.15770609318996415,41,0.14695340501792115
2,960,705,0.734375,107,0.11145833333333334,148,0.15416666666666667
3,5427,3809,0.7018610650451447,795,0.146489773355445,823,0.15164916159941036
4,556,397,0.7140287769784173,83,0.14928057553956833,76,0.1366906474820144
5,1000,668,0.668,183,0.183,149,0.149
6,1247,890,0.7137129109863672,175,0.14033680834001605,182,0.14595028067361668
7,2483,1810,0.7289569069673781,349,0.1405557792992348,324,0.13048731373338704
8,2580,1875,0.7267441860465116,308,0.11937984496124031,397,0.15387596899224806
9,2203,1579,0.716749886518384,345,0.15660463004993191,279,0.12664548343168408
10,2476,1726,0.697092084006462,391,0.15791599353796446,359,0.14499192245557352
11,4842,3409,0.7040479140850888,731,0.15097067327550598,702,0.1449814126394052
12,226,153,0.6769911504424779,42,0.18584070796460178,31,0.13716814159292035
13,4655,3209,0.6893662728249195,688,0.14779806659505906,758,0.16283566058002147
