class_id,total_images,train_images,train_rate_of_class,val_images,val_rate_of_class,test_images,test_rate_of_class
0,3067,2147,0.7000326051516139,460,0.149983697424193,460,0.149983697424193
1,186,130,0.6989247311827957,28,0.15053763440860216,28,0.15053763440860216
2,452,316,0.6991150442477876,68,0.1504424778761062,68,0.1504424778761062
3,2300,1610,0.7,345,0.15,345,0.15
4,353,247,0.6997167138810199,53,0.1501416430594901,53,0.1501416430594901
5,386,270,0.6994818652849741,58,0.15025906735751296,58,0.15025906735751296
6,613,429,0.6998368678629691,92,0.1500815660685155,92,0.1500815660685155
7,1322,926,0.7004538577912254,198,0.14977307110438728,198,0.14977307110438728
8,826,578,0.6997578692493946,124,0.15012106537530268,124,0.15012106537530268
9,1134,794,0.7001763668430335,170,0.14991181657848324,170,0.14991181657848324
10,1032,722,0.6996124031007752,155,0.1501937984496124,155,0.1501937984496124
11,1981,1387,0.7001514386673398,297,0.14992428066633012,297,0.14992428066633012
12,96,68,0.7083333333333334,14,0.14583333333333334,14,0.14583333333333334
13,1617,1132,0.7000618429189858,242,0.14965986394557823,243,0.150278293135436
